,condition,coord_pair,date,description,id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 19:10,"1997 SYLVAN DEEP V ,has live well,fish finder,trolling motor,3 seats,new boat cover,25hp Mercury electric start,drive on trailer with spare, boat is in nice condition...asking $2500 or best offer.. will post pics later.please call show contact info",5927524268,,15,,,,,,power,,15ft  SYLVAN DEEP V 25hp MERCURY,https://tuscarawas.craigslist.org/boa/5927524268.html,
1,,"['40.720400', '-81.533800']",2016-12-19 11:09,lots of stuff call This is not the new junk from the new owners.  Old stock,5912048068,40.720400,1,-81.533800,,"https://maps.google.com/maps/preview/@40.720400,-81.533800,16z",,,human,,big john Down riggers,https://tuscarawas.craigslist.org/boa/5912048068.html,
2,good,[],2016-12-18 16:41,"selling my 24ft lowes pontoon boat we call it the buckeye...everything goes with it satellite radio, solar panel, ladder, anchor,  9.9 evenrude motor, all safety equipment,chairs,7 vest, cooking grill..front two bench seats are drying out and the right side one just ripped at the seam so I have discounted for that also the captains chair is brand new",5924639257,,24,,lowes,https://maps.google.com/?q=loc%3A+%32%32%33%37+lodge+rd+sw+sherrodsville+OH+US,pontoon,$4100,power, (dellroy ohio),pontoon boat 24ft,https://tuscarawas.craigslist.org/boa/5924639257.html,1990
3,,"['40.811600', '-81.497300']",2016-12-18 10:43,I have a 16ft MFG. No leaks. Floats. Has false bottom with plug. Also comes with oars. Seats. Life jackets. 2 anchors. All needed ropes. 2 fire extinguishers. Air horn. Canopy. Newer batter. Led lights on bow and on Canopy. Navigation lights also work. Boat cover and 4 pole holders. Runs good. 1000 obo Call or text show contact info motivated to sell. needs gone.,5924186438,40.811600,16,-81.497300,,"https://maps.google.com/maps/preview/@40.811600,-81.497300,16z",,,power,,16ft mfg boat,https://tuscarawas.craigslist.org/boa/5924186438.html,
4,,"['40.484500', '-81.435800']",2016-12-16 22:33,"1982 fisher 9.9 four stroke 55 lb bow trolling motor heavy duty boat cover 14'6"" length this boat is in excellent shape",5922529178,40.484500,146,-81.435800,Fisher,"https://maps.google.com/maps/preview/@40.484500,-81.435800,16z",Deep v,$3000,power,,1982 Deep v fisher,https://tuscarawas.craigslist.org/boa/5922529178.html,1982
5,fair,"['40.534300', '-81.476300']",2016-12-14 18:46,well craft project boat-trailer-engine-outdrive-trailer fair-towable-surge brakes need work from setting-stored inside for 10 years-can start-good engine 3.0 merc-out drive has chipped in lower fin-take all 1200.00--800.00 for engine-,5903064005,40.534300,17,-81.476300,wellcraft,"https://maps.google.com/maps/preview/@40.534300,-81.476300,16z",mercury,$800,power, (dover),3.0 mercury inboard engine,https://tuscarawas.craigslist.org/boa/5903064005.html,1987
6,excellent,"['41.566555', '-82.831710']",2016-12-14 07:04,"1989 24' sea ray that looks and runs great! 305 merc small block inboard outboard, easy to maintenance and cheap to repair if need be. Everything is taken care of and serviced on the boat, 2 new marine batteries, 2 fish finders with gps, and an extra prop, nice cuddy cab that sleeps two comfortable. An entire Bimini top to cover entire boat, is included, along with a boat cover. Trailer is a double axle tandem brake trailer worth $1800 its self. It is kept in temperature control rack storage at Catawba bay marina.... the only reason im selling it is there is no time to go. If you want a boat with no problems, maintenanced and taken care of... this is it! It is currently in an indoor closed rack storage Marina at Catawba Bay, and can arrange to meet to see the boat 614-4one9-7zero7seven",5918749340,41.566555,24,-82.831710,sea ray,"https://maps.google.com/maps/preview/@41.566555,-82.831710,16z",,$6200,power,,24' Sea ray with tandom brake trailer,https://tuscarawas.craigslist.org/boa/5918749340.html,1989
7,,"['40.401200', '-81.101600']",2016-12-11 18:57,"1985 Sun Tracker pontoon with 50 hp. Mercury motor This is a nice pontoon boat. The motor has recently been serviced and runs perfect. All the wood and carpet were replaced about 2 years ago. It starts up every time. The boat has a nice aluminum roof and a large plastic storage bin in the back. This pontoon has an open floor plan. It is great for large families or a fishing trip. With the open concept of this pontoon, you can freely move anywhere on the boat. Very nice for little children. I will include 5 large and 4 small plastic seats. I will also include all the necessary safety equipment as well as vests. Comes with a custom-made tarp cover that incases the entire boat. Also, comes with a large bunk style trailer. Trailer alone is worth $1600. The pontoon has recently been winterized. Get a great deal on this pontoon before spring. Now's the time to buy. Thanks for looking. Check out Sciosale.com. Fun for the whole family! Call to make an offer. Call or Text show contact info",5888294061,40.401200,28,-81.101600,,"https://maps.google.com/maps/preview/@40.401200,-81.101600,16z",,$4500,power,,1985 Sun Tracker pontoon with 50 hp. Mercury motor,https://tuscarawas.craigslist.org/boa/5888294061.html,
8,good,,2016-12-09 09:13,"62 Lone Star fiberglass boat with 1986 9.9 Johnson motor. Motor has electric start, but is not hooked up.  Runs good. Seats were replaced in the spring. Comes with trailer, fish finder, battery, anchor, cover, and some extra seat parts. 900 obo",5902585675,,14,,Lone Star,,Salem,$900,power, (Carrollton),1962 14' Lone Star w/ 9.9 Johnson,https://tuscarawas.craigslist.org/boa/5902585675.html,1962
9,,"['40.273900', '-81.594000']",2016-12-04 16:09,15 ft boat. 75 hp Evinrude doesn't run but does turn over. And tilt trailer.,5905341768,40.273900,15,-81.594000,,"https://maps.google.com/maps/preview/@40.273900,-81.594000,16z",,$1500,power,,Project boat,https://tuscarawas.craigslist.org/boa/5905341768.html,
10,,"['40.317200', '-82.056000']",2016-12-02 13:53,I have a sweetwater Pontoon boat for sale has a 40 horse Mercy in good shape motor has new water pump an gears new plugs,5902425017,40.317200,22,-82.056000,Sweetwater,"https://maps.google.com/maps/preview/@40.317200,-82.056000,16z",,$3500,power, (Warsaw),22 ft Pontoon,https://tuscarawas.craigslist.org/boa/5902425017.html,1992
11,,"['40.484500', '-81.435800']",2016-12-02 11:16,1987 Bayliner Capri open bow boat needs work nice galvanized trailer with brand new tires 80 horse Mercury I don't know if it runs I bought it as a project but interest has changed,5902148408,40.484500,19,-81.435800,,"https://maps.google.com/maps/preview/@40.484500,-81.435800,16z",,$700,power, (New Philadelphia),1987 Bayliner Capri,https://tuscarawas.craigslist.org/boa/5902148408.html,
12,,"['41.342665', '-83.914089']",2016-11-28 22:52,"Looks old but good is not beat up, I know it holds water its sitting out in the rain filling up lol... looks like it was never used very much or else handled very carefully... I got this at an auction after fishing season so nobody was looking for one and I wasnt either I have no place to park it but I knew someone would want to be ready for Spring... the trailer looks pretty solid too, has taillights and winch... I dont see why you couldnt pull it home and then anywhere you want to launch the boat... includes anchor and oars, maybe even a spare tire, might be a trolling motor around here too",5897012492,41.342665,15,-83.914089,,"https://maps.google.com/maps/preview/@41.342665,-83.914089,16z",,$275,human, (McClure OH),Aluminum Rowboat with Trailer no leak,https://tuscarawas.craigslist.org/boa/5897012492.html,
13,good,"['40.534300', '-81.476300']",2016-11-21 16:25,"1974 17' O'Day Sailer   License up to date, trailer has new springs, good sails, needs tiller Can be seen at Bob's Marine in Dover",5886965150,40.534300,17,-81.476300,,"https://maps.google.com/maps/preview/@40.534300,-81.476300,16z",,$1000,sail,,1974 17' O'Day Sailer sail boat,https://tuscarawas.craigslist.org/boa/5886965150.html,
14,,"['40.038600', '-82.099800']",2016-11-21 15:00,Marine specialist is gearing to close down another season of boating. We are a full service shop. we offer shrink wrap starting at $7 a foot. pontoons are $8 a foot. winterizing starting at $120 that includes changing of all fluids. outside storage starting at $25 a month. pontoon transportation starting at $75 this is good up to 10 miles $1.50 each additional mile. visit us on the web at www.marinespecialistllc.com or give us a call show contact info,5849269016,40.038600,32,-82.099800,,"https://maps.google.com/maps/preview/@40.038600,-82.099800,16z",,,power,,Winterizing shrink wrap and storage,https://tuscarawas.craigslist.org/bod/5849269016.html,
15,,"['40.275400', '-81.866000']",2016-11-18 08:44,"I took this 20ft boat in on a partial trade. I need it out of my  parking lot ASAP the only thing i know about the boat is that it runs, does not leak and it has new exhaust manifolds on it. comes with trailer. call or text. prefer text 740575134one  $500.00 OBO  will send pics",5881925357,40.275400,20,-81.866000,,"https://maps.google.com/maps/preview/@40.275400,-81.866000,16z",,$500,power, (coshocton),boat for sale need gone asap!!!,https://tuscarawas.craigslist.org/boa/5881925357.html,
16,fair,,2016-11-17 18:10,late 80s 15 1/2 bass boat! Everything works as it should! 70 horse Evinrude 2 stroke engine the boat will to around 40mph! trolling motor is a motorguide 30 pound thrust! trolling motor battery is only a year old! fun little fishing boat just don't have time to take her to the water!,5881343581,,155,,bomber bass boats,,,$1500,power, (new phila),late 80s 15 1/2 ft bomber bass boat,https://tuscarawas.craigslist.org/boa/5881343581.html,1987
17,excellent,"['40.561200', '-81.794300']",2016-11-15 16:12,Boat is like new has a Yamaha 150 Vmax. Runs great top speed was 74mph. New minn Kota 24 volt trolling motor with 3 bank charging system. Has been kept in storage at all times. 13500 obo,5878079994,40.561200,18,-81.794300,Skeeter,"https://maps.google.com/maps/preview/@40.561200,-81.794300,16z",Zx 180,$13500,power, (berlin),2002 Skeeter  zx180 Bass boat,https://tuscarawas.craigslist.org/boa/5878079994.html,2002
18,,"['40.484500', '-81.435800']",2016-11-15 11:56,1991 Procraft bass boat.  Fiberglass 18 ft.  150hp Mercury with  brand new lower unit. 2 live wells.  12/24 trolling motor. Built in charger for batteries.  Runs 55mph with two adults in it.   Lots of storage. Trailer.  Tarp.   $4900.  Buying new boat.  Call to see or make offer.  Three30 four 1 seven 2181  This is a great boat!,5877602231,40.484500,18,-81.435800,,"https://maps.google.com/maps/preview/@40.484500,-81.435800,16z",,$4900,power, (New Philadelphia),18ft Procraft Bassboat w/150 Mercury,https://tuscarawas.craigslist.org/boa/5877602231.html,
19,excellent,"['40.273900', '-81.594000']",2016-11-10 19:16,For Sale Home built Air Boat  Project Runs and Operates but needs finished. Too many other projects $1500.00 OBO  No texts or emails Please Thanks For Looking,5870696609,40.273900,10,-81.594000,home made,"https://maps.google.com/maps/preview/@40.273900,-81.594000,16z",,$1500,power, (newcomerstown),Boat,https://tuscarawas.craigslist.org/boa/5870696609.html,
20,good,,2016-11-09 15:11,"15 ft., 1973,  Smokercraft, aluminum canoe",5868791893,,15,,Smokercraft,,,$325,human," (Augusta, Ohio)",canoe for sale,https://tuscarawas.craigslist.org/boa/5868791893.html,1973
21,good,[],2016-11-09 14:40,"14 foot aluminum johnboat with 7hp motor, gas tank, and 2 seats. Engine ran great last time in water, now in storage. No idea how many hours on motor, belonged to my father, Have no idea how old it is.",5868737571,,14,,sea king,https://maps.google.com/?q=loc%3A+%39%32%39+Logan+st%2E+Toronto+OH+US,,$300,power, (Toronto),14 foot Johnboat,https://tuscarawas.craigslist.org/boa/5868737571.html,
22,,,2016-11-07 13:51,"1991 Sea Nymph BT 165 backtroller. Boat is in good shape with custom cover, fish finder, trailer, live well, rod locker, 3 pedestal seats. Motor is a 1987 Evinrude 15 HP with 2 hoods, the original 15 and a 9.9 cover. Electric start tiller model ready to fish. Call or text for more info.",5865607214,,16,,Sea Nymph,,BT 165 Backtroller,$3100,power,,Sea Nymph 16' V Bottom,https://tuscarawas.craigslist.org/boa/5865607214.html,1991
23,good,"['40.314217', '-81.578784']",2016-11-06 17:44,1967 18ft. Mark Twain rebuilt 110 mercruiser inboard. Needs drive coupler replaced. starts and runs good. Tandem axle trailer. Email preferred.,5864424826,40.314217,18,-81.578784,Mark Twain,"https://maps.google.com/maps/preview/@40.314217,-81.578784,16z",18 110 deluxe,$950,power, (Newcomerstown),Mark twain 18ft,https://tuscarawas.craigslist.org/boa/5864424826.html,1967
24,,,2016-12-20 19:30,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",5909291345,,,,,,,$2500,,,86 mark twain with 350 chevy motor,https://tuscarawas.craigslist.org//akroncanton.craigslist.org/boa/5909291345.html,
25,,,2016-12-20 19:21,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",5927534992,,,,,,,,,,15ft  SYLVAN DEEP V 25hp MERCURY,https://tuscarawas.craigslist.org//akroncanton.craigslist.org/boa/5927534992.html,
26,,,2016-12-20 18:54,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",5927506548,,,,,,,$600,,,Wilderness Systems Pungo 120 Angler (Dusk),https://tuscarawas.craigslist.org//akroncanton.craigslist.org/boa/5927506548.html,
27,,,2016-12-20 17:10,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",5927332837,,,,,,,$1,,,DEAL OF THE MONTH! 1979 SEA RAY OPEN BOW NICE BOAT!,https://tuscarawas.craigslist.org//akroncanton.craigslist.org/boa/5927332837.html,
28,,,2016-12-20 16:17,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",5927309463,,,,,,,,,,Kayak,https://tuscarawas.craigslist.org//akroncanton.craigslist.org/boa/5927309463.html,
29,,,2016-12-20 14:57,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",5927192257,,,,,,,$110,,,1960 Johnson 5.5 outboard,https://tuscarawas.craigslist.org//akroncanton.craigslist.org/boa/5927192257.html,
30,,,2016-12-20 14:18,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",5916588405,,,,,,,$100,,,1937 Johnson 2 HP Outboard Motor,https://tuscarawas.craigslist.org//akroncanton.craigslist.org/boa/5916588405.html,
31,,,2016-12-20 14:18,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",5919163677,,,,,,,$500,,,1988 Bayliner Capri 14' with Trailer,https://tuscarawas.craigslist.org//akroncanton.craigslist.org/boa/5919163677.html,
32,,,2016-12-20 14:16,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",5916647398,,,,,,,$150,,,1950-51 Johnson 5 HP Outboard Motor,https://tuscarawas.craigslist.org//akroncanton.craigslist.org/boa/5916647398.html,
33,,,2016-12-20 11:46,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",5926878605,,,,,,,$350,,,Underwater Viewing System,https://tuscarawas.craigslist.org//akroncanton.craigslist.org/boa/5926878605.html,
34,,,2016-12-20 11:00,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",5926805204,,,,,,,$1900,,,15ft Jon Boat Whole Package,https://tuscarawas.craigslist.org//akroncanton.craigslist.org/boa/5926805204.html,
35,,,2016-12-20 10:51,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",5926793006,,,,,,,$200,,,1967  16' Sea Ray Boat & Trailer,https://tuscarawas.craigslist.org//akroncanton.craigslist.org/boa/5926793006.html,
